===== JOURNAL DES EVENEMENTS =====
Debut capture : 2026-03-26 01:38:19.652866
Interface     : ens34
Filtre        : net 192.168.26.0/24

[ALERTE][SCAN SYN] 2026-03-26 01:39:38 | Source: 192.168.26.144 -> Destination: 192.168.26.1 | Port cible: 53
[ALERTE][SCAN SYN] 2026-03-26 01:39:41 | Source: 192.168.26.144 -> Destination: 192.168.26.1 | Port cible: 53
[ALERTE][SCAN SYN] 2026-03-26 01:39:42 | Source: 192.168.26.144 -> Destination: 192.168.26.1 | Port cible: 53
[ALERTE][SCAN SYN] 2026-03-26 01:39:43 | Source: 192.168.26.144 -> Destination: 192.168.26.1 | Port cible: 53
[ALERTE][SCAN SYN] 2026-03-26 01:39:44 | Source: 192.168.26.144 -> Destination: 192.168.26.1 | Port cible: 53
[ALERTE][SCAN SYN] 2026-03-26 01:39:45 | Source: 192.168.26.144 -> Destination: 192.168.26.1 | Port cible: 53
[ALERTE][SCAN SYN] 2026-03-26 01:39:46 | Source: 192.168.26.144 -> Destination: 192.168.26.1 | Port cible: 53
[ALERTE][SCAN SYN] 2026-03-26 01:39:48 | Source: 192.168.26.144 -> Destination: 192.168.26.1 | Port cible: 53
[ALERTE][SCAN SYN] 2026-03-26 01:39:56 | Source: 192.168.26.144 -> Destination: 192.168.26.1 | Port cible: 53
[ALERTE][SCAN SYN] 2026-03-26 01:39:57 | Source: 192.168.26.144 -> Destination: 192.168.26.1 | Port cible: 53
[ALERTE][SCAN SYN] 2026-03-26 01:39:58 | Source: 192.168.26.144 -> Destination: 192.168.26.1 | Port cible: 53
[ALERTE][SCAN SYN] 2026-03-26 01:39:59 | Source: 192.168.26.144 -> Destination: 192.168.26.1 | Port cible: 53
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.134 | Port cible: 139
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 139
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.254 | Port cible: 139
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.1 | Port cible: 139
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.134 | Port cible: 110
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 110
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.254 | Port cible: 110
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.1 | Port cible: 110
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.134 | Port cible: 113
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 113
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.134 | Port cible: 21
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 21
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.254 | Port cible: 113
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.1 | Port cible: 113
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.134 | Port cible: 3389
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 3389
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.134 | Port cible: 1720
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 1720
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.254 | Port cible: 21
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.1 | Port cible: 21
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.254 | Port cible: 3389
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.1 | Port cible: 3389
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 22
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 8888
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 1025
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 1723
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 443
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 199
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 23
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 8080
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 256
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 587
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 53
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 135
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 554
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 25
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 993
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 80
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 995
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 445
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 111
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 5900
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 3306
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 143
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 1038
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 9929
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 5825
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 1600
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 5440
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 5566
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 64623
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 1030
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 1046
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 9485
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 1063
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 8222
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 7025
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 2638
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 4550
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 3268
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 9999
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 1009
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 55056
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 616
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 8500
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 99
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 3880
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 8400
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 30718
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 1216
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 24800
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 49155
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 9877
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 800
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 44442
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 5811
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 7778
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 5405
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 2968
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 544
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 8007
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 2043
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 8100
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 5190
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 8089
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 987
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 6692
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 6006
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 389
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 8002
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 9500
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 9998
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 6901
[ALERTE][SCAN SYN] 2026-03-26 01:40:00 | Source: 192.168.26.144 -> Destination: 192.168.26.143 | Port cible: 1092
